PARAMETER_CLASS,CODE,ABBREV,FULL_NAME,UNITS_REPORTED,MATCHED_RECORDS,CONVERTED_RECORDS,SKIPPED_UNSUPPORTED_OR_INVALID
"Phosphorus, soluble reactive",1838,SRP-P-F,SOLUBLE REACTIVE PHOSPHOROUS,MG/L,2515,2515,0
"Phosphorus, soluble reactive",1839,SRP-P-F,SOLUBLE REACTIVE PHOSPHOROUS-INT.,MG/L,6,6,0
Total phosphorus,1996,TCPCB,TOTAL POLYCHLORINATED BIPHENYL-CONGENER,NG/L,63,63,0
Total phosphorus,2036,TP-P-UF,TOTAL PHOSPHOROUS,MG/L,6778,6777,1
Total phosphorus,2037,TP-P-UF,TOTAL PHOSPHOROUS - INTEGRATED,MG/L,6,6,0
Total phosphorus,2038,TP-P-F,TOTAL PHOSPHOROUS FILTERED,MG/L,6776,6776,0
Total phosphorus,2039,TP-P-F,TOTAL PHOSPHOROUS-FILTERED-INTEGRATED,MG/L,6,6,0
Total phosphorus,2270,TCPCB,Total PCBs,ng/L,213,213,0
Total phosphorus,258,I-TF P,"PHOSPHORUS,TOTAL FILTERED-INTEGRATED",MG P/L,162,162,0
Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",MG P/L,8633,8633,0
Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",MG P/L,8626,8626,0
Total phosphorus,3763,TOT_P5CDD,Resin:Total penta-dioxins,pg/sample,3,0,3
Total phosphorus,3767,TOT_P5F,Resin:Total penta-furans,pg/sample,3,0,3
Total phosphorus,981,TCPCB   ,TOTAL POLYCHLORINATED BIPHENYL,MG/L   ,69,0,69
