WATER_BODY,PSN,TARGET_LATITUDE,TARGET_LONGITUDE
GEORGIAN BAY,1,44.718,-80.857
GEORGIAN BAY,11,44.921,-80.606
GEORGIAN BAY,12,44.92,-80.875
GEORGIAN BAY,122,45.325,-80.117
GEORGIAN BAY,15,45.167,-80.297
GEORGIAN BAY,16,45.354,-80.487
GEORGIAN BAY,1614,45.2725,-81.6369
GEORGIAN BAY,17,45.245,-80.875
GEORGIAN BAY,19,45.067,-81.254
GEORGIAN BAY,200,45.3,-81.5986
GEORGIAN BAY,203,45.2722,-81.62
GEORGIAN BAY,21,45.365,-81.19
GEORGIAN BAY,24,45.679,-80.839
GEORGIAN BAY,26,45.833,-80.9
GEORGIAN BAY,261,45.711,-81.391
GEORGIAN BAY,27,45.867,-81
GEORGIAN BAY,29,45.583,-81.083
GEORGIAN BAY,3,44.725,-80.617
GEORGIAN BAY,31,45.238,-81.44
GEORGIAN BAY,33,45.37,-81.585
GEORGIAN BAY,35,45.528,-81.669
GEORGIAN BAY,36,45.708,-81.62
GEORGIAN BAY,39,45.873,-81.258
GEORGIAN BAY,4,44.646,-80.167
GEORGIAN BAY,42,45.913,-81.595
GEORGIAN BAY,43,45.831,-81.789
GEORGIAN BAY,44,45.972,-81.699
GEORGIAN BAY,46,45.762,-81.795
GEORGIAN BAY,47,45.991,-81.733
GEORGIAN BAY,48,46.007,-81.733
GEORGIAN BAY,499,44.705,-80.627
GEORGIAN BAY,5,44.797,-80.243
GEORGIAN BAY,50,45.535,-82.045
GEORGIAN BAY,500,44.72,-80.523
GEORGIAN BAY,501,44.729,-80.469
GEORGIAN BAY,6,44.737,-80.435
GEORGIAN BAY,8,44.953,-80.149
GEORGIAN BAY,9,44.872,-79.968
LAKE ERIE,1026,41.9739,-81.2717
LAKE ERIE,1029,41.8211,-82.5875
LAKE ERIE,1040,42.5333,-79.7833
LAKE ERIE,1045,42.4475,-80.1483
LAKE ERIE,1046,42.2706,-80.1492
LAKE ERIE,1048,42.1806,-80.3931
LAKE ERIE,1053,42.1817,-80.8725
LAKE ERIE,1056,42.0031,-81.1194
LAKE ERIE,1057,42.3631,-81.1233
LAKE ERIE,107,42.0164,-82.6664
LAKE ERIE,1076,41.8111,-82.3244
LAKE ERIE,1079,41.6314,-82.4367
LAKE ERIE,1086,41.7125,-83.0417
LAKE ERIE,1088,41.8008,-83.1675
LAKE ERIE,1104,42.4497,-80.4997
LAKE ERIE,1156,42.0458,-83.1361
LAKE ERIE,1163,41.469,-82.714
LAKE ERIE,1164,41.9011,-82.5983
LAKE ERIE,1165,41.9992,-82.7283
LAKE ERIE,12,42.8083,-79.5878
LAKE ERIE,1201,41.7619,-82.9853
LAKE ERIE,1207,42.6494,-81.0022
LAKE ERIE,1208,42.6419,-81.0089
LAKE ERIE,1209,42.6208,-80.7842
LAKE ERIE,1210,42.5919,-80.8036
LAKE ERIE,1211,42.5656,-80.7825
LAKE ERIE,1212,42.5256,-80.7836
LAKE ERIE,1213,42.4828,-80.7836
LAKE ERIE,1214,42.6383,-81.0267
LAKE ERIE,1215,42.6164,-81.0269
LAKE ERIE,1216,42.5828,-81.0264
LAKE ERIE,1217,42.5411,-81.0264
LAKE ERIE,1218,42.4997,-81.0261
LAKE ERIE,1219,42.6444,-81.2428
LAKE ERIE,1220,42.6253,-81.2442
LAKE ERIE,1221,42.5925,-81.2442
LAKE ERIE,1222,42.5514,-81.2453
LAKE ERIE,1223,42.5086,-81.2444
LAKE ERIE,1236,42.811,-79.565
LAKE ERIE,1237,42.766,-79.556
LAKE ERIE,1238,42.633,-81.21
LAKE ERIE,1239,42.615,-81.209
LAKE ERIE,1240,42.57,-81.203
LAKE ERIE,1257,42.65,-81.211
LAKE ERIE,1262,42.6525,-81.2069
LAKE ERIE,1286,42.8508,-79.5794
LAKE ERIE,1290,41.735,-81.6969
LAKE ERIE,1292,42.6267,-80.8028
LAKE ERIE,1297,42.0367,-83.1344
LAKE ERIE,1326,41.7325,-81.7014
LAKE ERIE,1328,41.9186,-82.9717
LAKE ERIE,1332,41.8733,-82.7097
LAKE ERIE,1339,41.9689,-82.2081
LAKE ERIE,1344,42.8103,-79.5339
LAKE ERIE,1348,42.8114,-79.4881
LAKE ERIE,1356,42.7903,-79.7572
LAKE ERIE,1365,42.0969,-82.1428
LAKE ERIE,1370,42.199,-81.412
LAKE ERIE,1431,42.5,-79.4247
LAKE ERIE,1461,41.9481,-82.9817
LAKE ERIE,1462,41.96,-82.8628
LAKE ERIE,1463,41.9739,-82.8044
LAKE ERIE,1464,42.0097,-82.7469
LAKE ERIE,1465,41.9861,-82.8544
LAKE ERIE,1466,41.9972,-82.9806
LAKE ERIE,1533,42.68,-79.6917
LAKE ERIE,1534,42.43,-81.205
LAKE ERIE,1535,42.0817,-81.0117
