CRUISE_PLAN,LAST_DATE_UPDATED,SHIP_NAME,WATER_BODY,CSN,LATITUDE,LONGITUDE,PSN,SOUNDING,STN_DATE,CODE,DEPTH_FROM,DEPTH_TO,DETECTION,FLAG,SEQ_NO,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
201800202,2019-04-02 15:34:40,USEPA GUARDIAN,LAKE ONTARIO,1,432759,-775502,713,144.0,2018-06-12 19:48:00,5,12.10,.00,,,0,200.000000,VOLUME,SAMPLE VOLUME COLLECTED,LITRES,43.46639,-77.91722
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,1,431847,-794507,1,25.4,2018-08-13 15:19:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.31306,-79.75194
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,2,432022,-793957,2,58.35,2018-08-13 16:20:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.33944,-79.66583
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,3,432529,-793928,5,21.47,2018-08-13 17:20:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.42472,-79.65778
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,4,432337,-792911,14,97.17,2018-08-13 18:36:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.39361,-79.48639
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,5,432801,-793147,6,65.53,2018-08-13 19:35:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.46694,-79.52972
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,5,432801,-793147,6,65.53,2018-08-13 19:35:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.46694,-79.52972
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,6,432500,-792400,13,105.54,2018-08-13 20:44:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.41667,-79.40000
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,6,432500,-792400,13,105.54,2018-08-13 20:44:00,6,4.50,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.41667,-79.40000
201800005,2019-02-21 17:00:41,CCGS LIMNOS,LAKE ONTARIO,6,432500,-792400,13,105.54,2018-08-13 20:44:00,6,12.00,.00,,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.41667,-79.40000
